identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;ARDIAN;[1110, 271, 209, 44];44;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;1;Société;[685, 330, 135, 32];32;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;2;par;[832, 338, 65, 33];33;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;3;actions;[904, 332, 132, 33];33;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;4;simplifiée;[1048, 332, 172, 41];41;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;5;au;[1233, 339, 45, 26];26;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;6;capitai;[1290, 333, 123, 40];40;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;7;de;[1424, 333, 45, 32];32;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;8;183;[1485, 335, 65, 32];32;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;9;132;[1566, 335, 63, 32];32;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;2;10;Euros;[1643, 335, 110, 32];32;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;1;Siège;[804, 377, 97, 41];41;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;2;social;[912, 377, 103, 33];33;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;3;:;[1026, 388, 9, 24];24;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;4;20,;[1047, 379, 51, 37];37;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;5;place;[1111, 379, 95, 40];40;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;6;Vandôme;[1220, 379, 166, 33];33;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;7;-;[1397, 397, 13, 7];7;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;8;75001;[1425, 380, 104, 33];33;text;Page_3;01_ARDIAN - Comptes sociaux 2017
0;1;1;3;9;Paris;[1542, 380, 90, 33];33;text;Page_3;01_ARDIAN - Comptes sociaux 2017
