Rubriques;MontantBrut;Amortissements;31/12/2017;37/12/2016
Capitel souscrit non appelé;0;0;0;0
IMMOBILISATIONS INCORPORELLES;0;0;0;0
Frels d'tablisssment;0;0;0;0
Frais de recherche ei dûveloppement;0;0;0;0
Concossions, brevets et drolts similaires;0;0;0;0
Fonds commerciel;0;0;0;0
Autres Immobillsetions Incorporelles;0;0;0;0
Avantos, comptes sur Immo, Incorporeiles;0;0;0;0
IMMOBILISATIONS CORPORELLES;0;0;0;0
Terrains;0;0;0;0
Constructions;0;0;0;0
Installations techniques, matériel, ouililage;0;0;0;0
Autres Immobillseilons corporelles;0;0;0;0
Immobilisations en cours;0;0;0;0
Avences et ecompies;0;0;0;0
IMMOBILISATIONS FINANCIERES;0;0;0;0
Participations per mise en équivelence;0;0;0;0
Autres pericipalions;33403594;15464582;17939012;20396356
Créancas tstschaas à des participations;0;0;0;0
Autres res Immobilisés;0;0;0;0
Prés;37;0;37;37
Autres Immobilisations finenclèros;0;0;0;0
ACTIF IMMOBILISE;0;33403631;15464592;20396393
STOCKS ET EN-COURS;0;0;0;0
Metères premières, opprovisonnements;0;0;0;0
En-cours de production da blens;0;0;0;0
En-cours de production de services;0;0;0;0
Prodults Intermédiaires et finis;0;0;0;0
Morchondisos;0;0;0;0
Avences et ecomples versés sur commandos;RDIAN31/12/2017;0;0;0
CREANCES;0;0;0;0
Créances clients et comptes reltsches;BILANACTIF;0;0;0
Autres créancos;0;3712740;0;3179522
Cepisl souscrit et appelé, non versé;0;0;0;0
DIVERS;0;0;0;0
Valeurs mobillères de piscoment;0;0;0;0
(dont actions propres !;Capitelsouscritnonappelé;0;0;0
Disponibitiiés;INCORPORELLES    ;2508435;0;1142650
COMPTES DE REGULARISATION;Frelsd'tablisssment;0;0;0
Chargos constatäes d'avance;Fraisderechercheeidûveloppement;2700;0;2700
[NF];0;6223875;0;6223875
[NF];0;0;0;0
[NF];0;0;0;0
[NF];0;0;0;0
[NF];0;39627507;15464582;24721265
