Rubriques;31/12/2017;37/12/2076
Capitel sociel ou Inélvidue! ( dont vorsé : 183 132;0;0
Primes d'émission, de fusion, d'apport;0;902717
Ecents de réévelueton (dont écart d'équivalence :;0;0
Réserve légale;0;18314
Réserves statutsiros ou contractuelles;0;0
Resarves réglementées (dont rés, Prov, Auctuollon cours;0;0
Autres réserves (dont achot œuvres originales ortistes;;20528
Raporit 8 nouvoau;0;12631908
RESULTAT DE L'EXERCICE (bénéfice au perte);0;128365583
Acompte sur dividendes;0;137005933
Subventions d'investissement;0;0
Provisions réglementées;0;0
[NF];0;5116249
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;7200
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
[NF];0;0
DETTES;0;19046676
[NF];0;0
[NF];0;0
