0;1
Débiteurs divers;0
Autres créances: intégration fiscale;0
Prêts sur titres de participation;0
Charges constatées d'avance;0
COINS;0
TOTAL;TOTAL<ian>1an
666 532;0
1 232 434;0
1 865 124;0
2 700;0
CARE 0;0
666 532;0
1 232 434;0
4 786;0
2 700;0
EUX 7;0
1 860 338;0
LRO ET:;0
[NF];0
[NF];0
[NF];0
[NF];0
[NF];0
Capital social;0
Prime d'apport;0
Réserve légale;0
Autres réserves;0
Report à nouveau;0
Acomptes sur dividendes;0
Bénéfice de l'exercice;0
31/12/2017;31/12/2017durésultat2017dividendes
183 132;0
902 717;0
18 314;0
20 528;0
12631 908;0
-137 005 933;0
128 365 583;0
5 116 249;0
Affectation  ACOMPES Résultat de;AffectationRésultatde
du résultat sur l'exercice;31/12/2017durésultat31/12/20182017dividendes
2017 dividendes 2018;2017dividendes2018
versés;versés
-8 640 350;0
137 005933 (164 002 048);0
190 565 358;0
(164 002 048) 190 565 358;0
31/12/2018;31/12/2017durésultatl'exercice31/12/20182017dividendes
183 132;0
902 717;0
18314;0
20 528;0
3 991 558;0
-164 002 048;0
190 565 358;0
Car Et);0
[NF];0
[NF];0
[NF];0
[NF];0
[NF];0
[NF];0
[NF];0
[NF];0
[NF];0
[NF];0
[NF];0
[NF];0
[NF];0
[NF];0
<ian;0
Emprunt et dettes auprès des établissements de;Empruntetdettesdescrédit#47
crédit;0
Fournisseurs et comptes rattachés;Fournisseursetcomptesrattachés
Dettes fiscales et sociales;Dettesfiscalesetsociales
Autres dettes;Autresdettes
TOTAL DES DETTES;0
