identifier;left;right;up;down
3;;;4;
3;;;;6
3;;10;;
3;;13;;
4;;;;3
4;;10;;
4;;11;;
5;;;6;
5;;;;7
5;;12;;
5;;14;;
6;;;3;
6;;;;5
6;;12;;
6;;13;;
7;;;5;
7;;;;8
7;;14;;
7;;15;;
8;;;7;
8;;;;9
8;;15;;
8;;16;;
9;;;8;
9;;16;;
10;3;;;
10;;;11;
10;;;;13
10;;17;;
11;4;;;
11;;;;10
11;;18;;
12;5;;;
12;;;13;
12;;;;14
12;;19;;
13;6;;;
13;;;10;
13;;;;12
13;;20;;
14;7;;;
14;;;12;
14;;;;15
14;;21;;
15;8;;;
15;;;14;
15;;;;16
15;;22;;
16;9;;;
16;;;15;
16;;23;;
17;10;;;
17;;;18;
17;;;;20
17;;24;;
18;11;;;
18;;;;17
18;;25;;
19;12;;;
19;;;20;
19;;;;21
19;;26;;
20;13;;;
20;;;17;
20;;;;19
20;;27;;
21;14;;;
21;;;19;
21;;;;22
21;;29;;
22;15;;;
22;;;21;
22;;;;23
22;;28;;
23;16;;;
23;;;22;
23;;30;;
24;17;;;
24;;;25;
24;;;;27
24;;31;;
25;18;;;
25;;;;24
25;;32;;
26;19;;;
26;;;27;
26;;;;29
26;;33;;
27;20;;;
27;;;24;
27;;;;26
27;;34;;
28;22;;;
28;;;29;
28;;;;30
28;;35;;
29;21;;;
29;;;26;
29;;;;28
29;;36;;
30;23;;;
30;;;28;
30;;37;;
31;24;;;
31;;;32;
31;;;;34
32;25;;;
32;;;;31
33;26;;;
33;;;34;
33;;;;36
34;27;;;
34;;;31;
34;;;;33
35;28;;;
35;;;36;
35;;;;37
36;29;;;
36;;;33;
36;;;;35
37;30;;;
37;;;35;
