0;1;2;3;4
6;0;0;0;0
ee en 2;0;0;0;0
Rubriques;0;0;31/12/2018;31/12/2017
Ventes de marchandises;0;0;0;0
Production vendue de biens;0;0;0;0
Production vendue de services;0;0;0;0
CHIFFRES D'AFFAIRES NETS;0;0;0;0
Production stockée;0;0;0;0
Production immobilisée;0;0;0;0
Subventions d'exploitation;0;0;0;0
Reprises sur amortissements et provisions, transferts de charges;0;0;0;0
Autres produits;0;0;0;0
PRODUITS D'EXPLOITATION;0;0;0;0
Achats de marchandises (y compris droits de douane);0;0;0;0
Variation de stock (marchandises);0;0;0;0
Achats de matières premières et autres approvisionnements (et droits de douane);0;0;0;0
Variation de stock (matières premières et approvisionnements);0;0;0;0
Autres achats et charges externes;0;0;363121;362114
Impêts, taxes et versements assimilés;0;0;144185;30807
Salaires et traitements;0;0;0;0
Charges sociales;0;0;0;0
DOTATIONS D'EXPLOITATION;0;0;0;0
Sur immobilisations : dotations aux amortissements;0;0;0;0
Sur immobilisations : dotations aux provisions;0;0;0;0
Sur actif circulant : dotations aux provisions;0;0;0;0
Pour risques et charges : dotations aux provisions;0;0;0;0
Autres charges;0;0;0;D
_ 2 SC ès;0;0;0;0
CHARGES D'EXPLOITATION;0;0;507306;308
RESULTAT D'EXPLOITATION;0;0;507306;331307
OPERATIONS EN COMMUN;0;0;0;0
Bénéfice attribué ou perte transférée;0;0;0;0
Perte supportée ou bénéfice transféré;0;0;0;0
PRODUITS FINANCIERS;0;0;0;0
Produits financiers de participations;0;0;193584650;105368703
Produits des autres valeurs mobilières et créances de l'actif immobilisé;0;0;0;0
Autres intérêts et produits assimilés;0;0;34417;45397
Reprises sur provisions et transferts de charges;0;0;3824;0
Différences positives de change;0;0;35298;91420
Produits nets sur cessions de valeurs mobilières de placement;0;0;0;0
aa,;0;0;0;0
PRODUITS FINANCIERS;0;0;658188;520
Dotations financières aux amortissements et provisions;0;0;316837;1344543
Intérêts et charges assimilées;0;0;274063;92575
Différences négaïives de change;0;0;197559;72991
Charges nettes sur cessions de valeurs mobilières de placement;0;0;0;0
RS;0;0;0;0
CHARGES FINANCIERES;0;0;788459;1510109
RESULTAT FINANCIER;0;0;0;0
RESULTAT COURANT AVANT IMPOTS;0;0;192362423;103664104
Produits exceptionnels sur opérations de gestion;0;0;0;0
Produits exceptionnels sur opérations en capital;0;0;11326537;62584280
Reprises sur provisions et transferts de charges;0;0;0;0
PRODUITS EXCEPTIONNELS;0;0;0;0
Charges exceptionnelles sur opérations de gestion;0;0;0;0
Charges exceptionnelles sur opérations en capital;0;0;630695;2128982
Dotations exceptionnelles aux amortissements et provisions;0;0;0;0
ms;0;0;0;0
CHARGES EXCEPTIONNELLES;0;0;0;0
RESULTAT EXCEPTIONNEL;0;0;0;0
Participation des salariés aux résultats de l'entreprise;0;0;0;0
Impôts sur les bénéfices;0;0;0;12492906
tr rrtnhhnntÉÉT;0;0;0;0
[NF];0;0;0;0
[NF];0;0;0;0
[NF];0;0;0;0
