Rubriques;France;Exportation;31/12/2019;31/12/2018
Ventes de marchandises;0;0;0;0
Production vendue de biens;0;0;0;0
Production vendue de services;0;0;0;0
CHIFFRES D'AFFAIRES NETS;0;0;0;0
Production stockée;0;0;0;0
Production immobilisée;0;0;0;0
Subventions d'exploitation;0;0;0;0
Reprises sur amortissements et provisions, transferts de charges;0;0;0;0
Autres produits;0;0;0;0
PRODUITS D'EXPLOITATION;0;0;0;0
Achats de marchandises (y compris droits de douane);0;0;0;0
Variation de stock (marchandises);0;0;0;0
Achats de matières premières et autres approvisionnements (et droits de douane);0;0;0;0
Variation de stock (matières premières et approvisionnements);0;0;0;0
Autres achats et charges externes;0;0;174569;363121
Impôts, taxes et versements assimilés;0;0;107713;144185
Salaires et traitements;0;0;0;0
Charges sociales;0;0;0;0
DOTATIONS D'EXPLOITATION;0;0;0;0
Sur immobilisations : dotations aux amortissements;0;0;0;0
Sur immobilisations : dotations aux provisions;0;0;0;0
Sur actif circulant : dotations aux provisions;0;0;0;0
Pour risques et charges : dotations aux provisions;0;0;5695915;0
Autres charges;0;0;7;0
CHARGES D'EXPLOITATION;0;0;5978204;507306
RESULTAT D'EXPLOITATION;0;0;5978203;507306
OPERATIONS EN COMMUN;0;0;0;0
Bénéfice attribué ou perte transférée;0;0;0;0
Perte supportée ou bénéfice transféré;0;0;0;0
PRODUITS FINANCIERS;0;0;0;0
Produits financiers de participations;0;0;145979820;193584650
Produits des autres valeurs mobilières et créances de l'actif immobilisé;0;0;0;0
Autres intérêts et produits assimilés;0;0;7980;34417
Reprises sur provisions et transferts de charges;0;0;10993619;3824
Différences positives de change;0;0;41942;35298
Produits nets sur cessions de valeurs mobilières de placement;0;0;0;0
PRODUITS FINANCIERS;0;0;157023362;193658188
Dotations financières aux amortissements et provisions;0;0;0;0
Intérêts et charges assimilées;0;0;13746;274063
Différences négatives de change;0;0;178877;197559
Charges nettes sur cessions de valeurs mobilières de placement;0;0;0;0
CHARGES FINANCIERES;0;0;486184;788459
RESULTAT FINANCIER;0;0;156537178;192869729
RESULTAT COURANT AVANT IMPOTS;0;0;150558974;192362423
Produits exceptionnels sur opérations de gestion;0;0;0;0
Produits exceptionnels sur opérations en capital;0;0;9694418;11326537
Reprises sur provisions et transferts de charges;0;0;0;0
Charges exceptionnelles sur opérations de gestion;0;0;0;0
Charges exceptionnelles sur opérations en capital;0;0;20247026;630695
Dotations exceptionnelles aux amortissements et provisions;0;0;0;0
Participation des salariés aux résultats de l'entreprise;0;0;0;0
Impôts sur les bénéfices;0;0;9957423;12492906
