Rubriques;France;Exportation;37/12/2077;37/12/2016
Ventes de matchanditas;0;0;0;0
Production vendue da blens;0;0;0;0
Production vendue de services;0;0;0;0
Froductlon stockée;0;0;0;0
Production immoblliséa;0;0;0;0
Subventions d'axplotiation;0;0;0;0
Reprisas sur smortissoments ot provisions, iransferts de charges;0;0;0;1368
Autres produits;0;0;0;0
PROOUITS D'EXPLOITATION;0;0;0;1368
Achats de marchendises (y compris droits de douane);0;0;0;0
Venlation de ttock (marchandises);0;0;0;0
Achats de matlères premières ol putros approvislonnements (et droits de douane);0;0;0;0
Vesloïon do stock (melltres premières et approvisionnements);0;0;0;0
Autres achats ot chargas externes;0;0;enreARDIAN=31/12/2017;362114
Impôts. 10xes et versements essimilés;0;0;0;30807
Salelres et trellements;0;0;0;0
Chargos soclales;0;0;COMPTEDERESULTAT;0
DOTATIONS D'EXPLOITATION;0;0;0;0
Eur Immeblilsetions : dotations aux amartissements;0;0;0;0
Sur Immebtilsations : dotations aux provisions;0;0;DASareaRubriques;0
Sur ecilf clrculanl : dotations aux provisions;0;0;0;0
Pour risques al cherges : dotations aux provlslons;0;0;Ventesdematchanditas    ;0
Autres charges;0;0;vendue;0
[NF];0;0;0;331308
[NF];0;0;0;331307
[NF];0;0;0;0
[NF];0;0;0;0
[NF];0;0;0;0
[NF];0;0;0;0
[NF];0;0;ARDIAN=31/12/2017;105368703
[NF];0;0;0;0
[NF];0;0;0;45397
[NF];0;0;0;0
[NF];0;0;0;91420
[NF];0;0;0;0
[NF];0;0;0;94761011
[NF];0;0;0;0
[NF];0;0;0;82575
[NF];0;0;0;72991
[NF];0;0;0;0
[NF];0;0;0;1510109
RESULTAT.FINANCIER.;0;0;0;103995411
[NF];0;0;0;1036844104
[NF];0;0;0;0
[NF];0;0;0;62584280
[NF];0;0;0;0
[NF];0;0;0;0
[NF];0;0;0;2128982
[NF];0;0;0;0
[NF];0;0;0;0
[NF];0;0;0;35753919
[NF];0;0;0;0
