0;1;2
[NF];0;0
BILAN;0;0
Montant;0;libéréau
souscrit en;au;31/12/2017
deviaea;0;0
Nombre Catégorie des;ilbéréau;libéréau
Entités de parte PES;ilbéréau;au
AÏMPE & Management;0;0
AXA LBO Fund V Core;208348€;206348€
AXA LBO Fund V Supplementary;131456€;131458€
AXA Co-investment Fund IV;128311€;128311€
AXA Co-investment Fund IV-B;9895€;9895€
AXA Expansion Fund il;107359€;107359€
AXA Expension Fund iii ltalla Parallel;24150€;24150€
Ardian Ca-investment Fund IV Europe;44557€;44557€
Ardian Co-invesiment Fund (V North;0;0
Americe;0;0
Ardlan LBO VIB;6154733€;6154733€
Ardian Expansion IV B;1324228€;1324228€
FPS Ardian Fonds de Fonds FRR CI;0;0
Franca;0;0
FPS ERAFP infrastructures;0;0
Comoartiment 1;0;0
510;87365$;72847€
48 900;208348€;206348€
12 229;131456€;131458€
5 744;128311€;128311€
460;9895€;9895€
14 990;107359€;107359€
699;24150€;24150€
2 969;44557€;44557€
4731;69172$;57677€
104 141;6154733€;6154733€
26 252;1324228€;1324228€
750;0;0
100;0;0
Parts prioritaires;87365$;72847€
Parts ordinalres B;208348€;206348€
Parts ordinaires B;131456€;131458€
Parts ordinaires B;128311€;128311€
Parts ordinaires B;9895€;9895€
Parts ordinaires B;107359€;107359€
Parts ordineires B;24150€;24150€
Perts ordinelres B;44557€;44557€
Parts otdinsires B;69172$;57677€
Parts ordinaires B;6154733€;6154733€
Parts ordinaires B;1324228€;1324228€
Parts ordinaires B;80000€;60000€
Parts ordinaires B;80000€;80000€
500 000 5;87365$;72847€
4 890 000 €;208348€;206348€
1 222 900 €;131456€;131458€
574 400 €;128311€;128311€
46 000 €;9895€;9895€
1 499 000 €;107359€;107359€
69 900 €;24150€;24150€
296 900 €;44557€;44557€
473 100 $;69172$;57677€
10 414 100 €;6154733€;6154733€
2 625 200 €;1324228€;1324228€
75 O0C €;80000€;60000€
100 000 €;80000€;80000€
