identifier;block_num;par_num;line_num;word_num;text;position;height;text_type;page;document
0;1;1;1;1;ARDIAN;[371, 311, 143, 26];26;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;2;1;Rapport;[371, 363, 138, 29];29;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;2;2;du;[515, 360, 42, 26];26;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;2;3;commissaire;[564, 359, 210, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;2;4;aux;[781, 366, 62, 18];18;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;2;5;comptes;[849, 362, 134, 28];28;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;2;6;sur;[989, 366, 55, 17];17;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;2;7;les;[1052, 357, 44, 26];26;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;2;8;comptes;[1104, 360, 135, 29];29;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;2;9;annuels;[1245, 355, 128, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;3;1;Exercice;[372, 407, 137, 28];28;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;3;2;clos;[523, 407, 62, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;3;3;le;[594, 406, 27, 28];28;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;3;4;31;[627, 414, 35, 26];26;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;3;5;décembre;[672, 405, 164, 28];28;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;3;6;2018;[844, 406, 81, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;3;7;-;[932, 419, 11, 6];6;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;3;8;Page;[951, 406, 75, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;1;1;3;9;2;[1034, 411, 19, 20];20;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;2;1;1;1;————————————;[321, 472, 469, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;1;Justification;[373, 559, 258, 35];35;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;2;des;[642, 559, 69, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;3;1;1;3;appréciations;[723, 557, 281, 43];43;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;1;En;[374, 655, 48, 29];29;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;2;application;[439, 652, 195, 40];40;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;3;des;[652, 651, 58, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;4;dispositions;[728, 651, 214, 39];39;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;5;des;[958, 650, 57, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;6;articles;[1032, 648, 129, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;7;L.823-9;[1178, 649, 138, 37];37;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;8;et;[1332, 652, 34, 26];26;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;9;R.823-7;[1381, 648, 144, 36];36;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;10;du;[1541, 646, 45, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;11;code;[1603, 645, 80, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;12;de;[1699, 644, 42, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;13;commerce;[1758, 653, 183, 23];23;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;14;relatives;[1958, 642, 147, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;15;à;[2123, 641, 20, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;1;16;la;[2158, 641, 32, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;1;justification;[370, 697, 212, 41];41;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;2;de;[601, 696, 40, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;3;nos;[660, 706, 62, 22];22;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;4;appréciations,;[741, 695, 249, 41];41;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;5;nous;[1009, 704, 85, 22];22;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;6;vous;[1111, 703, 83, 22];22;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;7;informons;[1211, 692, 182, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;8;que;[1412, 701, 64, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;9;les;[1494, 691, 48, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;10;appréciations;[1561, 690, 238, 41];41;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;11;les;[1817, 689, 48, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;12;plus;[1883, 688, 73, 41];41;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;2;13;importantes;[1975, 688, 215, 40];40;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;1;auxquelles;[375, 742, 184, 41];41;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;2;nous;[583, 751, 84, 23];23;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;3;avons;[693, 751, 102, 23];23;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;4;procédé,;[820, 739, 149, 42];42;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;5;selon;[995, 739, 93, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;6;notre;[1112, 743, 95, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;7;jugement;[1227, 738, 169, 40];40;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;8;professionnel,;[1419, 735, 249, 42];42;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;9;ont;[1693, 739, 59, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;10;porté;[1776, 734, 95, 40];40;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;11;sur;[1895, 743, 56, 22];22;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;12;le;[1973, 732, 31, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;3;13;caractère;[2028, 732, 163, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;1;approprié;[375, 788, 171, 42];42;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;2;des;[573, 787, 57, 34];34;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;3;principes;[658, 787, 166, 42];42;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;4;comptables;[852, 785, 200, 42];42;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;5;appliqués;[1079, 783, 171, 43];43;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;6;et;[1276, 788, 34, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;7;sur;[1335, 793, 57, 23];23;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;8;le;[1417, 782, 32, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;9;caractère;[1475, 782, 162, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;10;raisonnable;[1664, 779, 209, 34];34;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;11;des;[1899, 779, 58, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;4;12;estimations;[1985, 778, 206, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;1;significatives;[374, 835, 227, 41];41;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;2;retenues;[625, 839, 154, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;3;et;[805, 838, 33, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;4;sur;[862, 843, 57, 23];23;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;5;la;[941, 832, 32, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;6;présentation;[996, 831, 225, 42];42;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;7;d'ensemble;[1245, 829, 199, 34];34;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;8;des;[1468, 828, 59, 34];34;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;9;comptes,;[1553, 832, 155, 37];37;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;10;notamment;[1734, 830, 207, 29];29;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;11;pour;[1965, 834, 83, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;12;ce;[2072, 834, 37, 22];22;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;5;13;qui;[2135, 820, 57, 49];49;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;6;1;concerne;[375, 891, 177, 23];23;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;4;1;6;2;:;[521, 877, 34, 50];50;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;1;La;[376, 980, 42, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;2;valorisation;[427, 977, 208, 35];35;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;3;des;[646, 977, 59, 29];29;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;4;titres;[716, 977, 93, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;5;de;[820, 975, 42, 30];30;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;6;participation;[872, 975, 227, 38];38;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;7;et;[1110, 978, 33, 25];25;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;8;autres;[1153, 977, 109, 25];25;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;9;titres;[1272, 973, 91, 34];34;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;10;détenus;[1373, 971, 140, 34];34;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;11;à;[1525, 971, 19, 29];29;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;12;long;[1553, 969, 76, 38];38;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;5;1;1;13;terme;[1639, 974, 106, 29];29;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;1;Les;[376, 1067, 58, 30];30;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;2;titres;[450, 1066, 91, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;3;de;[558, 1065, 41, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;4;participation;[615, 1064, 230, 40];40;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;5;et;[863, 1067, 32, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;6;autres;[911, 1067, 107, 26];26;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;7;titres;[1034, 1062, 93, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;8;détenus;[1143, 1061, 138, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;9;à;[1297, 1060, 19, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;10;long;[1330, 1059, 80, 39];39;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;11;terme;[1425, 1063, 105, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;12;(note;[1547, 1058, 91, 36];36;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;13;annexe;[1654, 1066, 126, 22];22;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;14;5);[1797, 1055, 33, 39];39;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;15;sont;[1849, 1059, 76, 28];28;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;16;évalués;[1941, 1053, 127, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;17;à;[2086, 1053, 19, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;1;18;leur;[2120, 1053, 73, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;1;valeur;[374, 1110, 111, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;2;d'utilité;[502, 1109, 134, 33];33;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;3;en;[654, 1119, 42, 22];22;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;4;retenant;[714, 1112, 152, 29];29;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;5;une;[883, 1117, 65, 22];22;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;6;approche;[966, 1106, 163, 40];40;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;7;multicritères.;[1146, 1105, 235, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;8;Dans;[1400, 1105, 90, 30];30;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;9;le;[1508, 1102, 31, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;10;cadre;[1556, 1102, 95, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;11;de;[1670, 1101, 40, 31];31;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;12;notre;[1728, 1105, 94, 27];27;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;13;appréciation;[1841, 1099, 219, 40];40;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;14;de;[2078, 1097, 42, 32];32;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;2;15;ces;[2138, 1106, 54, 22];22;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;3;1;estimations,;[376, 1155, 212, 37];37;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;3;2;nous;[601, 1164, 84, 22];22;text;Page_20;02_ARDIAN - Comptes sociaux 2018
0;6;1;3;3;avons;[697, 1163, 103, 22];22;text;Page_20;02_ARDIAN - Comptes sociaux 2018
