identifier;left;right;up;down
3;;;;12
3;;;13;
3;;42;;
3;;43;;
4;;;;14
4;;;15;
4;;32;;
4;;45;;
5;;;6;
5;;;;19
5;;34;;
5;;35;;
6;;;;5
6;;;7;
6;;35;;
6;;36;;
7;;;;6
7;;;8;
7;;36;;
7;;37;;
8;;;;7
8;;;9;
8;;37;;
8;;38;;
9;;;;8
9;;;10;
9;;38;;
9;;39;;
10;;;;9
10;;;11;
10;;39;;
10;;40;;
11;;;;10
11;;;12;
11;;40;;
11;;41;;
12;;;3;
12;;;;11
12;;41;;
12;;42;;
13;;;;3
13;;;14;
13;;43;;
13;;44;;
14;;;4;
14;;;;13
14;;44;;
14;;45;;
15;;;;4
15;;;16;
15;;32;;
15;;46;;
16;;;;15
16;;;20;
16;;;27;
16;;;29;
16;;46;;
16;;47;;
17;;;18;
17;;;;25
17;;52;;
17;;53;;
18;;;;17
18;;;19;
18;;33;;
18;;53;;
19;;;5;
19;;;;18
19;;33;;
19;;34;;
20;;;;16
20;;;21;
20;;27;;
21;;;;20
21;;;22;
21;;26;;
22;;;;21
22;;28;;
23;;;24;
23;;54;;
24;;;;23
24;;;25;
24;;51;;
24;;54;;
25;;;17;
25;;;;24
25;;51;;
25;;52;;
26;21;;;
26;;;;27
26;;;28;
26;;30;;
27;;;;16
27;20;;;
27;;;26;
27;;29;;
28;22;;;
28;;;;26
28;;31;;
29;;;;16
29;27;;;
29;;;30;
29;;48;;
30;26;;;
30;;;;29
30;;;31;
30;;49;;
31;28;;;
31;;;;30
31;;50;;
32;4;;;
32;;;;45
32;;;46;
32;;55;;
33;18;;;
33;;;34;
33;;;;53
33;;72;;
34;19;;;
34;;;;33
34;;;35;
34;;73;;
35;5;;;
35;;;;34
35;;;36;
35;;56;;
36;6;;;
36;;;;35
36;;;37;
36;;57;;
37;7;;;
37;;;;36
37;;;38;
37;;58;;
38;8;;;
38;;;;37
38;;;39;
38;;59;;
39;9;;;
39;;;;38
39;;;40;
39;;60;;
40;10;;;
40;;;;39
40;;;41;
40;;61;;
41;11;;;
41;;;;40
41;;;42;
41;;62;;
42;12;;;
42;;;;41
42;;;43;
42;;63;;
43;3;;;
43;;;;42
43;;;44;
43;;64;;
44;13;;;
44;;;;43
44;;;45;
44;;65;;
45;14;;;
45;;;32;
45;;;;44
45;;66;;
46;15;;;
46;;;;32
46;;;47;
46;;74;;
47;16;;;
47;;;;46
47;;;48;
47;;67;;
48;29;;;
48;;;;47
48;;;49;
48;;68;;
49;30;;;
49;;;;48
49;;;50;
49;;69;;
50;31;;;
50;;;;49
50;;70;;
51;24;;;
51;;;52;
51;;;;54
51;;76;;
52;25;;;
52;;;;51
52;;;53;
52;;77;;
53;17;;;
53;;;33;
53;;;;52
53;;71;;
54;23;;;
54;;;51;
54;;75;;
55;32;;;
55;;;;66
55;;;74;
56;35;;;
56;;;57;
56;;;;73
57;36;;;
57;;;;56
57;;;58;
58;37;;;
58;;;;57
58;;;59;
59;38;;;
59;;;;58
59;;;60;
60;39;;;
60;;;;59
60;;;61;
61;40;;;
61;;;;60
61;;;62;
62;41;;;
62;;;;61
62;;;63;
63;42;;;
63;;;;62
63;;;64;
64;43;;;
64;;;;63
64;;;65;
65;44;;;
65;;;;64
65;;;66;
66;45;;;
66;;;55;
66;;;;65
67;47;;;
67;;;68;
67;;;;74
68;48;;;
68;;;;67
68;;;69;
69;49;;;
69;;;;68
69;;;70;
70;50;;;
70;;;;69
71;53;;;
71;;;72;
71;;;;77
72;33;;;
72;;;;71
72;;;73;
73;34;;;
73;;;56;
73;;;;72
74;46;;;
74;;;;55
74;;;67;
75;54;;;
75;;;76;
76;51;;;
76;;;;75
76;;;77;
77;52;;;
77;;;71;
77;;;;76
