0;1;2;3;4;5
Catégorie des Montant souscrit;0;0;0;0;0
Entités Nombre de parts ÿ;0;0;0;au;au
parts en devises;0;0;0;31/12/2019en;31/12/2019en
LBO V Supp;0;0;0;0;0
LBO V;48900;PartsordinairesB;4890000€;179952€;179952€
ARDIAN EXPANSION III ITALIA PAR;699;PartsordinairesB;69900€;6221€;6221€
ARDIAN EXPANSION III;14990;PartsordinairesB;1499000€;107360€;107360€
CO IV PARTS B;5744;PartsordinairesB;574400€;119547€;119547€
CO IV B PARTS B;460;PartsordinairesB;46000€;9333€;9333€
BOIS CHALAND CO-INVEST FPCI;540;PartsordinairesB;54000€;24316€;24316€
ARDIAN CO IV EUROPE;2969;PartsordinairesB;296900€;34114€;34114€
ARDIAN CO IV NORTH AMERICA;4731;PartsordinairesB;473100$;69159$;61562€
ARDIAN EXPANSION IV B;22754;PartsordinairesB;2275400€;510806€;510806€
ARDIAN LBO VI;105188;PartsordinairesB;10518800€;563808€;563808€
ERAFP;120;PartsordinairesB;120000€;72000€;72000€
FPS ARDIAN FONDS DE FONDS FRR CI Franc;209;PartsordinairesB;20930€;12558€;12558€
ARDIAN GROWTH II;1690;PartsordinairesB;169000€;128964€;128964€
ARDIAN REAL ESTATE EUROPEAN FUND;1191662;PartsordinairesB;2000426€;464433€;464433€
ARDIAN CO V EUROPE;35894;PartsordinairesB;3589400€;2204661€;2204661€
ARDIAN CO V NORTH AMERICA;42551;PartsordinairesB;4255050$;2859829$;2545691€
AIMPE & Management;510;Partsprioritaires;500000$;87365$;77768€
TOTAL;0;0;0;0;0
