Rubriques;31/12/2019;31/12/2018
Capital social ou individuel ( dont versé :;0;0
Primes d'émission, de fusion, d'apport;902717;902717
Ecarts de réévaluation | dont écart d'équivalence :;0;0
Réserve légale;18314;18314
Réserves statutaires ou contractuelles;0;0
Réserves réglementées (dont rés. Prov. fluctuation cours;0;0
Autres réserves (dont achat œuvres originales artistes;20528;20528
Report à nouveau;30554869;3991558
RESULTAT DE L'EXERCICE (bénéfice ou perte);130048943;190565358
Acompte sur dividendes;129000503;164002048
Subventions d'investissement;0;0
Provisions réglementées;0;0
183 132;183132;183132
CAPITAUX PROPRES;32727999;31679560
Produits des émissions de titres participatifs;0;0
Avances conditionnées;0;0
AUTRES FONDS PROPRES;0;0
Provisions pour risques;0;0
Provisions pour charges;5695915;0
PROVISIONS POUR RISQUES ET CHARGES;5695915;0
DETTES FINANCIERES;0;0
Emprunts obligataires convertibles;0;0
Autres emprunts obligataires;0;0
Emprunts et dettes auprès des établissements de crédit;0;47
Emprunts et dettes financières divers (dont empr. participatifs;0;0
Avances et acomptes recus sur commandes en cours;0;0
DETTES D'EXPLOITATION;0;0
Dettes fournisseurs et comptes rattachés;15720;7320
Dettes fiscales et sociales;0;62237
DETTES DIVERSES;0;0
Dettes sur immobilisations et comptes rattachés;0;0
Autres dettes;1769564;8373
COMPTES DE REGULARISATION;0;0
Produits constatés d'avance;0;0
DETTES;1785284;77977
Ecarts de conversion passif;0;0
TOTAL GENERAL;40209198;31757537
